timestamp,bid,ask,bid_vol,ask_vol,last,volume
2026-09-18 13:30:00.000,232.09,232.11,819,976,232.1,1795
2026-09-18 13:30:00.500,232.34,232.35,1462,901,232.34,2363
2026-09-18 13:30:01.000,232.43,232.45,934,1099,232.44,2033
2026-09-18 13:30:01.500,232.34,232.36,1214,961,232.35,2175
2026-09-18 13:30:02.000,232.18,232.2,1105,954,232.19,2059
2026-09-18 13:30:02.500,232.12,232.13,755,336,232.12,1091
2026-09-18 13:30:03.000,232.1,232.11,735,708,232.1,1443
2026-09-18 13:30:03.500,232.2,232.22,1678,617,232.21,2295
2026-09-18 13:30:04.000,232.36,232.37,548,756,232.36,1304
2026-09-18 13:30:04.500,232.18,232.2,1138,746,232.19,1884
2026-09-18 13:30:05.000,232.2,232.21,758,402,232.2,1160
2026-09-18 13:30:05.500,232.18,232.19,510,736,232.18,1246
2026-09-18 13:30:06.000,232.22,232.24,798,865,232.23,1663
2026-09-18 13:30:06.500,232.25,232.27,569,775,232.26,1344
2026-09-18 13:30:07.000,232.46,232.48,657,480,232.47,1137
2026-09-18 13:30:07.500,232.36,232.37,750,308,232.36,1058
2026-09-18 13:30:08.000,232.38,232.39,1391,452,232.38,1843
2026-09-18 13:30:08.500,232.44,232.45,923,879,232.44,1802
2026-09-18 13:30:09.000,232.5,232.51,720,564,232.5,1284
2026-09-18 13:30:09.500,232.52,232.54,1004,539,232.53,1543
2026-09-18 13:30:10.000,232.58,232.6,1075,733,232.59,1808
2026-09-18 13:30:10.500,232.61,232.63,1269,863,232.62,2132
2026-09-18 13:30:11.000,232.56,232.58,717,556,232.57,1273
2026-09-18 13:30:11.500,232.44,232.45,587,785,232.45,1372
2026-09-18 13:30:12.000,232.38,232.39,581,1061,232.39,1642
2026-09-18 13:30:12.500,232.56,232.57,1093,268,232.56,1361
2026-09-18 13:30:13.000,232.73,232.75,1009,757,232.74,1766
2026-09-18 13:30:13.500,232.57,232.59,630,547,232.58,1177
2026-09-18 13:30:14.000,232.7,232.71,648,1039,232.7,1687
2026-09-18 13:30:14.500,232.88,232.89,860,678,232.88,1538
2026-09-18 13:30:15.000,232.91,232.93,768,304,232.92,1072
2026-09-18 13:30:15.500,232.82,232.84,1123,1032,232.83,2155
2026-09-18 13:30:16.000,232.78,232.8,966,454,232.79,1420
2026-09-18 13:30:16.500,232.88,232.89,1245,492,232.89,1737
2026-09-18 13:30:17.000,232.7,232.72,1338,779,232.71,2117
2026-09-18 13:30:17.500,232.64,232.66,1058,33,232.65,1091
2026-09-18 13:30:18.000,232.64,232.66,1397,713,232.65,2110
2026-09-18 13:30:18.500,232.54,232.56,1156,812,232.55,1968
2026-09-18 13:30:19.000,232.56,232.58,1035,843,232.57,1878
2026-09-18 13:30:19.500,232.7,232.71,981,84,232.7,1065
2026-09-18 13:30:20.000,232.76,232.78,987,565,232.77,1552
2026-09-18 13:30:20.500,232.66,232.67,613,676,232.67,1289
2026-09-18 13:30:21.000,232.4,232.42,1093,896,232.41,1989
2026-09-18 13:30:21.500,232.32,232.34,648,673,232.33,1321
2026-09-18 13:30:22.000,232.32,232.33,1266,658,232.32,1924
2026-09-18 13:30:22.500,232.14,232.16,1145,501,232.15,1646
2026-09-18 13:30:23.000,232.3,232.32,1245,136,232.31,1381
2026-09-18 13:30:23.500,232.35,232.37,577,206,232.36,783
2026-09-18 13:30:24.000,232.44,232.45,1024,735,232.44,1759
2026-09-18 13:30:24.500,232.3,232.32,1176,1084,232.31,2260
2026-09-18 13:30:25.000,232.24,232.25,740,81,232.24,821
2026-09-18 13:30:25.500,232.28,232.29,1230,28,232.28,1258
2026-09-18 13:30:26.000,232.06,232.07,747,710,232.06,1457
2026-09-18 13:30:26.500,231.86,231.87,691,278,231.86,969
2026-09-18 13:30:27.000,231.72,231.73,1200,502,231.72,1702
2026-09-18 13:30:27.500,231.66,231.67,1098,738,231.67,1836
2026-09-18 13:30:28.000,231.72,231.73,981,243,231.72,1224
2026-09-18 13:30:28.500,231.67,231.69,982,491,231.68,1473
2026-09-18 13:30:29.000,231.54,231.56,812,426,231.55,1238
2026-09-18 13:30:29.500,231.52,231.53,655,686,231.52,1341
2026-09-18 13:30:30.000,231.86,231.87,675,800,231.86,1475
2026-09-18 13:30:30.500,231.98,232,897,746,231.99,1643
2026-09-18 13:30:31.000,232.26,232.27,545,744,232.26,1289
2026-09-18 13:30:31.500,232.05,232.07,1017,888,232.06,1905
2026-09-18 13:30:32.000,232.22,232.23,565,299,232.22,864
2026-09-18 13:30:32.500,231.9,231.92,976,898,231.91,1874
2026-09-18 13:30:33.000,232.04,232.06,1001,595,232.05,1596
2026-09-18 13:30:33.500,232.1,232.11,1298,494,232.1,1792
2026-09-18 13:30:34.000,231.9,231.92,788,316,231.91,1104
2026-09-18 13:30:34.500,231.96,231.98,1291,1082,231.97,2373
2026-09-18 13:30:35.000,231.76,231.77,593,599,231.76,1192
2026-09-18 13:30:35.500,231.6,231.61,891,513,231.6,1404
2026-09-18 13:30:36.000,231.52,231.54,1208,974,231.53,2182
2026-09-18 13:30:36.500,231.44,231.45,1227,141,231.45,1368
2026-09-18 13:30:37.000,231.56,231.57,591,1,231.56,592
2026-09-18 13:30:37.500,231.45,231.47,905,114,231.46,1019
2026-09-18 13:30:38.000,231.32,231.34,1013,920,231.33,1933
2026-09-18 13:30:38.500,231.22,231.24,989,611,231.23,1600
2026-09-18 13:30:39.000,231.32,231.33,610,708,231.32,1318
2026-09-18 13:30:39.500,231.04,231.06,418,540,231.05,958
2026-09-18 13:30:40.000,231.3,231.31,1088,1071,231.3,2159
2026-09-18 13:30:40.500,231.14,231.16,964,280,231.15,1244
2026-09-18 13:30:41.000,230.86,230.88,1105,680,230.87,1785
2026-09-18 13:30:41.500,230.92,230.93,338,608,230.92,946
2026-09-18 13:30:42.000,231.1,231.11,448,409,231.1,857
2026-09-18 13:30:42.500,231.34,231.35,628,164,231.34,792
2026-09-18 13:30:43.000,231.22,231.23,1990,323,231.23,2313
2026-09-18 13:30:43.500,231.05,231.07,678,459,231.06,1137
2026-09-18 13:30:44.000,231.15,231.17,708,604,231.16,1312
2026-09-18 13:30:44.500,231.13,231.15,1006,372,231.14,1378
2026-09-18 13:30:45.000,230.92,230.94,1325,819,230.93,2144
2026-09-18 13:30:45.500,230.75,230.77,1213,431,230.76,1644
2026-09-18 13:30:46.000,230.84,230.85,554,876,230.84,1430
2026-09-18 13:30:46.500,231,231.01,488,1309,231,1797
2026-09-18 13:30:47.000,231.16,231.17,896,651,231.17,1547
2026-09-18 13:30:47.500,231.34,231.35,834,769,231.34,1603
2026-09-18 13:30:48.000,231.26,231.28,835,790,231.27,1625
2026-09-18 13:30:48.500,231.28,231.3,917,820,231.29,1737
2026-09-18 13:30:49.000,231.28,231.3,855,620,231.29,1475
2026-09-18 13:30:49.500,231.08,231.09,625,671,231.08,1296
2026-09-18 13:30:50.000,231.14,231.15,1065,775,231.14,1840
2026-09-18 13:30:50.500,230.93,230.95,1028,832,230.94,1860
2026-09-18 13:30:51.000,230.86,230.87,770,810,230.86,1580
2026-09-18 13:30:51.500,230.98,231,1326,629,230.99,1955
2026-09-18 13:30:52.000,231.06,231.07,1196,730,231.06,1926
2026-09-18 13:30:52.500,230.93,230.95,771,295,230.94,1066
2026-09-18 13:30:53.000,230.98,231,788,856,230.99,1644
2026-09-18 13:30:53.500,230.98,231,1084,419,230.99,1503
2026-09-18 13:30:54.000,230.78,230.8,1145,712,230.79,1857
2026-09-18 13:30:54.500,230.73,230.75,1076,353,230.74,1429
2026-09-18 13:30:55.000,231.14,231.16,769,991,231.15,1760
2026-09-18 13:30:55.500,230.85,230.87,709,624,230.86,1333
2026-09-18 13:30:56.000,230.84,230.86,706,961,230.85,1667
2026-09-18 13:30:56.500,230.66,230.67,1331,985,230.67,2316
2026-09-18 13:30:57.000,230.66,230.67,972,500,230.67,1472
2026-09-18 13:30:57.500,230.86,230.87,1372,1282,230.86,2654
2026-09-18 13:30:58.000,230.78,230.8,787,839,230.79,1626
2026-09-18 13:30:58.500,230.68,230.7,532,403,230.69,935
2026-09-18 13:30:59.000,230.34,230.36,849,1027,230.35,1876
2026-09-18 13:30:59.500,230.42,230.44,939,453,230.43,1392
2026-09-18 13:31:00.000,230.3,230.32,1244,634,230.31,1878
2026-09-18 13:31:00.500,230.34,230.36,770,301,230.35,1071
2026-09-18 13:31:01.000,230.12,230.14,1079,799,230.13,1878
2026-09-18 13:31:01.500,230.06,230.08,1000,1104,230.07,2104
2026-09-18 13:31:02.000,229.78,229.79,922,477,229.78,1399
2026-09-18 13:31:02.500,229.66,229.67,962,433,229.66,1395
2026-09-18 13:31:03.000,229.52,229.54,549,1145,229.53,1694
2026-09-18 13:31:03.500,229.46,229.48,428,806,229.47,1234
2026-09-18 13:31:04.000,229.22,229.23,789,73,229.23,862
2026-09-18 13:31:04.500,229.27,229.29,425,965,229.28,1390
2026-09-18 13:31:05.000,229.28,229.3,1066,686,229.29,1752
2026-09-18 13:31:05.500,229.36,229.38,638,948,229.37,1586
